id,platform,repo_name,region
17567118,gitee,openharmony/hiviewdfx_hitrace,China
16185048,gitee,openharmony/commonlibrary_c_utils,China
31627278,gitee,openeuler/fastblock,China
16227521,gitee,canonical-entropy/nop-entropy,
36477598,gitee,OpenCloudOS/rpm_info,
6960207,gitee,src-openeuler/python3,China
14557186,gitee,openharmony/developtools_packing_tool,China
26719727,gitee,openharmony/developtools_integration_verification,China
26681193,gitee,continew/continew-admin,
17221672,gitee,openeuler/PilotGo-plugins,China
7533441,gitee,dromara/MaxKey,
6585496,gitee,openeuler/infrastructure,China
7911474,gitee,ghi/dbsyncer,
20248160,gitee,openharmony/third_party_mindspore,China
23484796,gitee,openkylin/ukui-touch-settings-plugin,China
31822281,gitee,openkylin/ukui-framework,China
9953161,gitee,spark-store-project/spark-store,
24108909,gitee,openharmony/distributeddatamgr_data_share,China
32473041,gitee,openeuler/bishengjdk-21,China
29329977,gitee,openharmony/developtools_smartperf_host,China
26371726,gitee,openharmony-sig/ohos_ijkplayer,China
22429216,gitee,openkylin/ukui-sidebar,China
6960030,gitee,src-openeuler/openssl,China
30780167,gitee,openharmony/security_code_signature,China
10084036,gitee,opengauss/openGauss-connector-jdbc,China
11494661,gitee,dromara/mica-mqtt,
16184942,gitee,openharmony/telephony_cellular_call,China
17327489,gitee,openharmony/resourceschedule_work_scheduler,China
21401370,gitee,openharmony/testfwk_arkxtest,China
5016232,gitee,siteserver/cms,
18431548,gitee,openeuler/KubeOS,China
31958846,gitee,aieditor-team/aieditor,
31546842,gitee,openharmony/multimedia_drm_framework,China
16543384,gitee,anji-plus/report,
21442444,gitee,openharmony-tpc/httpclient,
1210716,gitee,jishenghua/JSH_ERP,
22760048,gitee,openeuler/UniProton,China
29684562,gitee,openharmony/commonlibrary_rust_ylong_http,China
6959625,gitee,src-openeuler/golang,China
25259518,gitee,openkylin/kylin-os-manager,China
9972137,gitee,dotnetchina/Furion,
6960264,gitee,src-openeuler/qemu,China
30211526,gitee,openeuler/extuner,China
15282697,gitee,openeuler/openstack,China
30208895,gitee,openharmony/castengine_cast_framework,China
14380865,gitee,RRQM_Home/TouchSocket,
16184967,gitee,openharmony/systemabilitymgr_safwk,China
30782011,gitee,openharmony/security_security_guard,China
29071833,gitee,openkylin/cybersectookits,China
14446453,gitee,inspirefunction/ifoxcad,
20038023,gitee,openharmony/napi_generator,China
7936165,gitee,XmacsLabs/mogan,
30522782,gitee,openharmony/security_dlp_permission_service,China
38712816,gitee,openeuler/storprototrace,China
20074041,gitee,openharmony/theme_wallpaper_mgr,China
5967892,gitee,dotnetchina/SqlSugar,
29477706,gitee,openkylin/win-program,China
17976479,gitee,openharmony/distributeddatamgr_data_object,China
29055007,gitee,halo-e/haloe-design,
7216183,gitee,src-openeuler/anaconda,China
25648696,gitee,openharmony/communication_dhcp,China
14269184,gitee,openharmony-tpc/docs,
31487361,gitee,kwdb/docs,China
11289444,gitee,dromara/mayfly-go,
16815037,gitee,openharmony/sensors_miscdevice,China
16185032,gitee,openharmony/third_party_node,China
657522,gitee,anyline/anyline,
34155705,gitee,openeuler/libkperf,China
11463759,gitee,cmcc-oneos/OneOS,
33352247,gitee,openeuler/devkit-pipeline,China
26310596,gitee,huajicloud/Hydrogen,
16185041,gitee,openharmony/third_party_sqlite,China
2426043,gitee,dromara/Jpom,
22974255,gitee,openharmony/ability_ability_base,China
18454295,gitee,scu319hy/edx,
11418207,gitee,openeuler/cve-manager,China
27681502,gitee,openeuler/zvm,China
20202630,gitee,openharmony/hiviewdfx_hidumper,China
22122087,gitee,openharmony-tpc/ohos_mpchart,
27511440,gitee,aizuda/mongo-plus,
31424625,gitee,openeuler/PilotGo-plugin-topology,China
22676445,gitee,ubml/caf-framework,China
16184926,gitee,openharmony/hiviewdfx_hiappevent,China
1094677,gitee,binary/weixin-java-tools,
11218623,gitee,openharmony/xts_tools,China
37105494,gitee,openharmony-sig/communication_iot_connect,China
9312931,gitee,yhuse/SunnyUI,
37278436,gitee,openeuler/dde_autotest_euler,China
21196663,gitee,tinylab/riscv-linux,
18793875,gitee,openharmony/filemanagement_user_file_service,China
16184935,gitee,openharmony/powermgr_battery_manager,China
7642592,gitee,opengauss/website,China
4196988,gitee,ZhongBangKeJi/CRMEB,
24815381,gitee,openharmony/update_sys_installer,China
31721986,gitee,openharmony/graphic_graphic_3d,China
11196484,gitee,openharmony/security,China
25648703,gitee,openharmony/ai_neural_network_runtime,China
16184934,gitee,openharmony/notification_common_event_service,China
17527838,gitee,openharmony/telephony_ril_adapter,China
20405414,gitee,wonderful-code/buildadmin,
33539498,gitee,openharmony/bundlemanager_app_domain_verify,China
20889439,gitee,src-openeuler/gazelle,China
26823331,gitee,src-openeuler/moby,China
6959547,gitee,src-openeuler/edk2,China
22695979,gitee,openharmony/security_certificate_manager,China
24815517,gitee,openharmony/security_crypto_framework,China
20557909,gitee,openharmony/commonlibrary_memory_utils,China
12777852,gitee,durcframework/torna,
29811959,gitee,openharmony-sig/aki,China
20632240,gitee,openeuler/opendesign-components,China
16184931,gitee,openharmony/hiviewdfx_hisysevent,China
28262420,gitee,dromara/sms4j,
22428850,gitee,openkylin/ukui-menu,China
24450771,gitee,openharmony/applications_permission_manager,China
6959609,gitee,src-openeuler/glibc,China
30590805,gitee,openharmony-tpc/chromium_v8,
28767127,gitee,newgateway/vtj,
16185021,gitee,openharmony/third_party_libuv,China
30067901,gitee,opengauss/compatibility-assessment,China
10999023,gitee,openeuler/secGear,China
35805317,gitee,openharmony-sig/homecheck,China
29666971,gitee,openeuler/nestos-kubernetes-deployer,China
22121942,gitee,openharmony-sig/ohos_dataorm,China
17932452,gitee,openeuler-competition/opensource-internship,
9165698,gitee,openeuler/oec-hardware,China
29134657,gitee,openharmony/resourceschedule_qos_manager,China
8219156,gitee,dromara/dante-cloud,
30149565,gitee,openkylin/kylin-wayland-compositor,China
8222467,gitee,dromara/easyAi,
36961381,gitee,opengauss/riscv,China
16184918,gitee,openharmony/applications_settings,China
23444591,gitee,openkylin/kylin-screenshot,China
31178815,gitee,openeuler/safeguard,China
20694904,gitee,xarray/osgverse,
22428927,gitee,openkylin/ukui-window-switch,China
25610576,gitee,openeuler/syscare,China
24297356,gitee,openharmony-sig/ohos_axios,China
22974272,gitee,openharmony/ability_idl_tool,China
30208890,gitee,openharmony/castengine_wifi_display,China
9780244,gitee,src-openeuler/openjdk-latest,China
720282,gitee,dromara/ujcms,
1834368,gitee,karson/fastadmin,
8037646,gitee,sagacity/sagacity-sqltoy,
23443210,gitee,openkylin/kylin-burner,China
11287700,gitee,itexp/gogogo,
27658222,gitee,opencloudos-stream/qemu,
9154659,gitee,ssssssss-team/magic-api,
34223944,gitee,openharmony/accesscontrol_sandbox_manager,China
19902863,gitee,openeuler/radiaTest,China
12978723,gitee,src-openeuler/lwip,China
30585248,gitee,openharmony-tpc/chromium_third_party_ohos_nweb_hap,
32372474,gitee,anolis/oasa,China
11347632,gitee,openatc/open-atc-admin,
22279413,gitee,openeuler/kiran-menu,China
7612759,gitee,src-openeuler/clang,China
20118339,gitee,openharmony/resourceschedule_device_usage_statistics,China
37667414,gitee,openharmony-sig/node_pool,China
21234249,gitee,openharmony/distributedhardware_distributed_camera,China
17567119,gitee,openharmony/hiviewdfx_hicollie,China
8076450,gitee,mo2/linux,
13478244,gitee,ascend/ascend-device-plugin,
14773867,gitee,dromara/mybatis-plus-ext,
32827158,gitee,openharmony-tpc/ohos_mail_base,
8666102,gitee,src-openeuler/dpdk,China
24297352,gitee,openharmony-tpc/ohos_mqtt,
6959936,gitee,src-openeuler/llvm,China
30395890,gitee,openeuler/ccps,China
13872916,gitee,src-openeuler/secGear,China
12489042,gitee,dromara/electron-egg,
31406896,gitee,src-openeuler/umdk,China
30899625,gitee,openharmony/advertising_ads_framework,China
20497131,gitee,openharmony/applications_screenlock,China
27980988,gitee,openharmony/arkui_ui_appearance,China
18383590,gitee,src-openeuler/openjdk-17,China
2057814,gitee,troyzhxu/bean-searcher,
16184917,gitee,openharmony/applications_launcher,China
8393877,gitee,dromara/x-easypdf,
6959508,gitee,src-openeuler/cups,China
2949205,gitee,dromara/lamp-cloud,
34243714,gitee,openeuler/virtCCA_sdk,China
17012247,gitee,openharmony/applications_mms,China
28879778,gitee,fanderchan/dbops,
8839765,gitee,geomech/hydrate,
1672969,gitee,layui/layui,
23271488,gitee,openkylin/kylin-code,China
9334162,gitee,ofdrw/ofdrw,
30152409,gitee,src-anolis-os/qemu,China
8937174,gitee,openeuler/ros,China
21120823,gitee,openharmony/device_soc_rockchip,China
23095729,gitee,openkylin/ukui-media,China
363233,gitee,dotnetchina/OpenAuth.Net,
20550722,gitee,openkylin/ukui-settings-daemon,China
22916116,gitee,openeuler/intel-kernel,China
21405950,gitee,anolis/anas,China
13959605,gitee,best_handsome/mybatis-plus-join,
9998185,gitee,opengauss/openGauss-third_party,China
23318020,gitee,anolis/qemu-kvm,China
29199485,gitee,openharmony/security_certificate_framework,China
16184980,gitee,openharmony/kernel_linux_patches,China
16001109,gitee,dromara/x-file-storage,
298991,gitee,crm8000/PSI,
13478533,gitee,ascend/ascend-hccl-controller,
17061288,gitee,openharmony/third_party_pulseaudio,China
24469829,gitee,ubml/business-entity-framework,China
13339066,gitee,tjopenlab/como,
22545810,gitee,kutangguo/ktg-mes,
19857502,gitee,likeadmin/likeadmin_php,
17625040,gitee,openeuler/bgmprovider,China
16184936,gitee,openharmony/powermgr_display_manager,China
6959497,gitee,src-openeuler/crash,China
26197988,gitee,openeuler/hmir,China
6959954,gitee,src-openeuler/lvm2,China
9266523,gitee,src-openeuler/oec-hardware,China
31432731,gitee,openkylin/ukui-quick,China
17221670,gitee,openeuler/PilotGo,China
31758617,gitee,openeuler/presentations,China
20360609,gitee,openeuler/opensource-intern,China
22121960,gitee,openharmony-sig/FastBle,China
2487172,gitee,RainyGao/DocSys,
28803765,gitee,openharmony/resourceschedule_soc_perf,China
24665709,gitee,qiufeng9862/mfish-nocode,
16288764,gitee,fire-framework/fire,
6960282,gitee,src-openeuler/rpm,China
32762215,gitee,anolis/InManageBoot,China
25552241,gitee,OptimisticDevelopers/Ruoyi-Go,
22121984,gitee,openharmony-sig/ohos_danmaku_flame_master,China
23443179,gitee,openkylin/kylin-photo-viewer,China
25344960,gitee,dromara/disjob,
11218476,gitee,openharmony/kernel_liteos_a,China
25021959,gitee,openkylin/freewb-deb,China
31454696,gitee,openeuler/compiler-docs,China
9402644,gitee,openeuler/RISC-V,China
20550721,gitee,openkylin/ukui-search,China
16999815,gitee,openharmony/powermgr_thermal_manager,China
26974143,gitee,dotnetmoyu/SimpleAdmin,
19086545,gitee,qiaoshengda/es-client,
19705367,gitee,dromara/go-view,
3135800,gitee,zorlan/skycaiji,
33395786,gitee,openharmony/security_asset,China
33860317,gitee,src-openeuler/oeAware-manager,China
22820622,gitee,atlisp/atlisp-lib,
6959510,gitee,src-openeuler/curl,China
7493429,gitee,notrynohigh/BabyOS,
7612903,gitee,src-openeuler/nginx,China
29648412,gitee,openharmony/ai_intelligent_voice_framework,China
19173341,gitee,anolis/tone-front,China
16290488,gitee,opengauss/openGauss-tools-chameleon,China
27654562,gitee,openeuler/rust_shyper,China
38539229,gitee,openeuler/epkg,China
24469269,gitee,ubml/metadata-service-dev,China
17534771,gitee,openharmony/vendor_hihope,China
18111428,gitee,openblock/openblock,China
22344709,gitee,opengauss/debezium,China
8097528,gitee,src-openeuler/firefox,China
29330103,gitee,openharmony/applications_calendar_data,China
22428740,gitee,openkylin/ukui-screensaver,China
7515598,gitee,guerlab_net/guerlab-cloud,
22891965,gitee,iconLake/IconLake,
20385368,gitee,dromara/dynamic-tp,
30658043,gitee,src-openeuler/migration-tools,China
30618668,gitee,openeuler/hotpatch_meta,China
28064831,gitee,neat-logic/neatlogic-itom-all,
6960273,gitee,src-openeuler/rdma-core,China
6959641,gitee,src-openeuler/grub2,China
28444950,gitee,openharmony/bundlemanager_bundle_tool,China
5779901,gitee,gitee-community/bullshit-codes,
19173048,gitee,anolis/sysak,China
23454850,gitee,src-openeuler/eagle,China
23443173,gitee,openkylin/kylin-video,China
19683670,gitee,season-fan/autometer-api,
15011930,gitee,openeuler/rockchip,China
19833112,gitee,thinkgem/jeesite-vue,
8651545,gitee,mindspore/mindarmour,China
27285633,gitee,xiaonuoadmin/snowy-mobile,
6465048,gitee,ulthon/ulthon_admin,
29546851,gitee,openeuler/utshell,China
6959483,gitee,src-openeuler/cloud-init,China
29648597,gitee,openharmony/third_party_cups,China
11233706,gitee,src-openeuler/rubygem-simplecov-html,China
25286911,gitee,src-openeuler/aops-hermes,China
22908739,gitee,openkylin/qtwayland-opensource-src,China
26715758,gitee,ThingsGateway/ThingsGateway,
6959604,gitee,src-openeuler/ghostscript,China
11918338,gitee,dromara/northstar,
18129760,gitee,guyangyang/vue-amap,
6959713,gitee,src-openeuler/krb5,China
18345391,gitee,openeuler/oecp,China
21234250,gitee,openharmony/distributedhardware_distributed_screen,China
20074045,gitee,openharmony/theme_screenlock_mgr,China
3845824,gitee,xany/yoshop2.0,
27284689,gitee,neat-logic/neatlogic-cmdb,
23093659,gitee,openkylin/kylin-os-installer,China
35781638,gitee,openeuler/kail_dnn_adapter,China
20130378,gitee,openharmony/security_device_security_level,China
26233447,gitee,src-openeuler/syscare,China
20758596,gitee,IsYourGod/mkrtos-real,
8903595,gitee,openeuler/ha-api,China
7158663,gitee,dbkangaroo/kangaroo,
7704909,gitee,src-openeuler/vim,China
37966849,gitee,src-openeuler/calamares,China
8194132,gitee,hgflydream/Gardener,
6960295,gitee,src-openeuler/selinux-policy,China
24342602,gitee,src-openeuler/dpu-utilities,China
