id,platform,repo_name,company
16184942,gitee,openharmony/telephony_cellular_call,Huawei
17327489,gitee,openharmony/resourceschedule_work_scheduler,Huawei
21401370,gitee,openharmony/testfwk_arkxtest,Huawei
5016232,gitee,siteserver/cms,
18431548,gitee,openeuler/KubeOS,Huawei
31958846,gitee,aieditor-team/aieditor,
31546842,gitee,openharmony/multimedia_drm_framework,Huawei
16543384,gitee,anji-plus/report,
21442444,gitee,openharmony-tpc/httpclient,
1210716,gitee,jishenghua/JSH_ERP,
22760048,gitee,openeuler/UniProton,Huawei
29684562,gitee,openharmony/commonlibrary_rust_ylong_http,Huawei
6959625,gitee,src-openeuler/golang,Huawei
25259518,gitee,openkylin/kylin-os-manager,openKylin
9972137,gitee,dotnetchina/Furion,
6960264,gitee,src-openeuler/qemu,Huawei
30211526,gitee,openeuler/extuner,Huawei
15282697,gitee,openeuler/openstack,Huawei
30208895,gitee,openharmony/castengine_cast_framework,Huawei
14380865,gitee,RRQM_Home/TouchSocket,
16184967,gitee,openharmony/systemabilitymgr_safwk,Huawei
30782011,gitee,openharmony/security_security_guard,Huawei
29071833,gitee,openkylin/cybersectookits,openKylin
14446453,gitee,inspirefunction/ifoxcad,
20038023,gitee,openharmony/napi_generator,Huawei
7936165,gitee,XmacsLabs/mogan,
30522782,gitee,openharmony/security_dlp_permission_service,Huawei
38712816,gitee,openeuler/storprototrace,Huawei
20074041,gitee,openharmony/theme_wallpaper_mgr,Huawei
5967892,gitee,dotnetchina/SqlSugar,
29477706,gitee,openkylin/win-program,openKylin
17976479,gitee,openharmony/distributeddatamgr_data_object,Huawei
29055007,gitee,halo-e/haloe-design,
7216183,gitee,src-openeuler/anaconda,Huawei
25648696,gitee,openharmony/communication_dhcp,Huawei
14269184,gitee,openharmony-tpc/docs,
31487361,gitee,kwdb/docs,Inspur
11289444,gitee,dromara/mayfly-go,
16815037,gitee,openharmony/sensors_miscdevice,Huawei
16185032,gitee,openharmony/third_party_node,Huawei
657522,gitee,anyline/anyline,
34155705,gitee,openeuler/libkperf,Huawei
11463759,gitee,cmcc-oneos/OneOS,
33352247,gitee,openeuler/devkit-pipeline,Huawei
26310596,gitee,huajicloud/Hydrogen,
16185041,gitee,openharmony/third_party_sqlite,Huawei
2426043,gitee,dromara/Jpom,
22974255,gitee,openharmony/ability_ability_base,Huawei
18454295,gitee,scu319hy/edx,
11418207,gitee,openeuler/cve-manager,Huawei
27681502,gitee,openeuler/zvm,Huawei
20202630,gitee,openharmony/hiviewdfx_hidumper,Huawei
22122087,gitee,openharmony-tpc/ohos_mpchart,
27511440,gitee,aizuda/mongo-plus,
31424625,gitee,openeuler/PilotGo-plugin-topology,Huawei
22676445,gitee,ubml/caf-framework,
16184926,gitee,openharmony/hiviewdfx_hiappevent,Huawei
1094677,gitee,binary/weixin-java-tools,
11218623,gitee,openharmony/xts_tools,Huawei
37105494,gitee,openharmony-sig/communication_iot_connect,Huawei
9312931,gitee,yhuse/SunnyUI,
37278436,gitee,openeuler/dde_autotest_euler,Huawei
21196663,gitee,tinylab/riscv-linux,
18793875,gitee,openharmony/filemanagement_user_file_service,Huawei
16184935,gitee,openharmony/powermgr_battery_manager,Huawei
7642592,gitee,opengauss/website,Huawei
4196988,gitee,ZhongBangKeJi/CRMEB,
24815381,gitee,openharmony/update_sys_installer,Huawei
31721986,gitee,openharmony/graphic_graphic_3d,Huawei
11196484,gitee,openharmony/security,Huawei
25648703,gitee,openharmony/ai_neural_network_runtime,Huawei
16184934,gitee,openharmony/notification_common_event_service,Huawei
17527838,gitee,openharmony/telephony_ril_adapter,Huawei
20405414,gitee,wonderful-code/buildadmin,
33539498,gitee,openharmony/bundlemanager_app_domain_verify,Huawei
20889439,gitee,src-openeuler/gazelle,Huawei
26823331,gitee,src-openeuler/moby,Huawei
6959547,gitee,src-openeuler/edk2,Huawei
22695979,gitee,openharmony/security_certificate_manager,Huawei
24815517,gitee,openharmony/security_crypto_framework,Huawei
20557909,gitee,openharmony/commonlibrary_memory_utils,Huawei
12777852,gitee,durcframework/torna,
29811959,gitee,openharmony-sig/aki,Huawei
20632240,gitee,openeuler/opendesign-components,Huawei
16184931,gitee,openharmony/hiviewdfx_hisysevent,Huawei
28262420,gitee,dromara/sms4j,
22428850,gitee,openkylin/ukui-menu,openKylin
24450771,gitee,openharmony/applications_permission_manager,Huawei
6959609,gitee,src-openeuler/glibc,Huawei
30590805,gitee,openharmony-tpc/chromium_v8,
28767127,gitee,newgateway/vtj,
16185021,gitee,openharmony/third_party_libuv,Huawei
30067901,gitee,opengauss/compatibility-assessment,Huawei
10999023,gitee,openeuler/secGear,Huawei
35805317,gitee,openharmony-sig/homecheck,Huawei
29666971,gitee,openeuler/nestos-kubernetes-deployer,Huawei
22121942,gitee,openharmony-sig/ohos_dataorm,Huawei
17932452,gitee,openeuler-competition/opensource-internship,
9165698,gitee,openeuler/oec-hardware,Huawei
29134657,gitee,openharmony/resourceschedule_qos_manager,Huawei
8219156,gitee,dromara/dante-cloud,
30149565,gitee,openkylin/kylin-wayland-compositor,openKylin
8222467,gitee,dromara/easyAi,
36961381,gitee,opengauss/riscv,Huawei
16184918,gitee,openharmony/applications_settings,Huawei
23444591,gitee,openkylin/kylin-screenshot,openKylin
31178815,gitee,openeuler/safeguard,Huawei
20694904,gitee,xarray/osgverse,
22428927,gitee,openkylin/ukui-window-switch,openKylin
25610576,gitee,openeuler/syscare,Huawei
24297356,gitee,openharmony-sig/ohos_axios,Huawei
22974272,gitee,openharmony/ability_idl_tool,Huawei
30208890,gitee,openharmony/castengine_wifi_display,Huawei
9780244,gitee,src-openeuler/openjdk-latest,Huawei
720282,gitee,dromara/ujcms,
1834368,gitee,karson/fastadmin,
8037646,gitee,sagacity/sagacity-sqltoy,
23443210,gitee,openkylin/kylin-burner,openKylin
11287700,gitee,itexp/gogogo,
27658222,gitee,opencloudos-stream/qemu,
9154659,gitee,ssssssss-team/magic-api,
34223944,gitee,openharmony/accesscontrol_sandbox_manager,Huawei
19902863,gitee,openeuler/radiaTest,Huawei
12978723,gitee,src-openeuler/lwip,Huawei
30585248,gitee,openharmony-tpc/chromium_third_party_ohos_nweb_hap,
32372474,gitee,anolis/oasa,Alibaba
11347632,gitee,openatc/open-atc-admin,
22279413,gitee,openeuler/kiran-menu,Huawei
7612759,gitee,src-openeuler/clang,Huawei
20118339,gitee,openharmony/resourceschedule_device_usage_statistics,Huawei
37667414,gitee,openharmony-sig/node_pool,Huawei
21234249,gitee,openharmony/distributedhardware_distributed_camera,Huawei
17567119,gitee,openharmony/hiviewdfx_hicollie,Huawei
8076450,gitee,mo2/linux,
13478244,gitee,ascend/ascend-device-plugin,
14773867,gitee,dromara/mybatis-plus-ext,
32827158,gitee,openharmony-tpc/ohos_mail_base,
8666102,gitee,src-openeuler/dpdk,Huawei
24297352,gitee,openharmony-tpc/ohos_mqtt,
6959936,gitee,src-openeuler/llvm,Huawei
30395890,gitee,openeuler/ccps,Huawei
13872916,gitee,src-openeuler/secGear,Huawei
12489042,gitee,dromara/electron-egg,
31406896,gitee,src-openeuler/umdk,Huawei
30899625,gitee,openharmony/advertising_ads_framework,Huawei
20497131,gitee,openharmony/applications_screenlock,Huawei
27980988,gitee,openharmony/arkui_ui_appearance,Huawei
18383590,gitee,src-openeuler/openjdk-17,Huawei
2057814,gitee,troyzhxu/bean-searcher,
16184917,gitee,openharmony/applications_launcher,Huawei
8393877,gitee,dromara/x-easypdf,
6959508,gitee,src-openeuler/cups,Huawei
2949205,gitee,dromara/lamp-cloud,
34243714,gitee,openeuler/virtCCA_sdk,Huawei
17012247,gitee,openharmony/applications_mms,Huawei
28879778,gitee,fanderchan/dbops,
8839765,gitee,geomech/hydrate,
1672969,gitee,layui/layui,
23271488,gitee,openkylin/kylin-code,openKylin
9334162,gitee,ofdrw/ofdrw,
30152409,gitee,src-anolis-os/qemu,Alibaba
8937174,gitee,openeuler/ros,Huawei
21120823,gitee,openharmony/device_soc_rockchip,Huawei
23095729,gitee,openkylin/ukui-media,openKylin
363233,gitee,dotnetchina/OpenAuth.Net,
20550722,gitee,openkylin/ukui-settings-daemon,openKylin
22916116,gitee,openeuler/intel-kernel,Huawei
21405950,gitee,anolis/anas,Alibaba
13959605,gitee,best_handsome/mybatis-plus-join,
9998185,gitee,opengauss/openGauss-third_party,Huawei
23318020,gitee,anolis/qemu-kvm,Alibaba
29199485,gitee,openharmony/security_certificate_framework,Huawei
16184980,gitee,openharmony/kernel_linux_patches,Huawei
16001109,gitee,dromara/x-file-storage,
298991,gitee,crm8000/PSI,
13478533,gitee,ascend/ascend-hccl-controller,
17061288,gitee,openharmony/third_party_pulseaudio,Huawei
24469829,gitee,ubml/business-entity-framework,
13339066,gitee,tjopenlab/como,
22545810,gitee,kutangguo/ktg-mes,
19857502,gitee,likeadmin/likeadmin_php,
17625040,gitee,openeuler/bgmprovider,Huawei
16184936,gitee,openharmony/powermgr_display_manager,Huawei
6959497,gitee,src-openeuler/crash,Huawei
26197988,gitee,openeuler/hmir,Huawei
6959954,gitee,src-openeuler/lvm2,Huawei
9266523,gitee,src-openeuler/oec-hardware,Huawei
31432731,gitee,openkylin/ukui-quick,openKylin
17221670,gitee,openeuler/PilotGo,Huawei
31758617,gitee,openeuler/presentations,Huawei
20360609,gitee,openeuler/opensource-intern,Huawei
22121960,gitee,openharmony-sig/FastBle,Huawei
2487172,gitee,RainyGao/DocSys,
28803765,gitee,openharmony/resourceschedule_soc_perf,Huawei
24665709,gitee,qiufeng9862/mfish-nocode,
16288764,gitee,fire-framework/fire,
6960282,gitee,src-openeuler/rpm,Huawei
32762215,gitee,anolis/InManageBoot,Alibaba
25552241,gitee,OptimisticDevelopers/Ruoyi-Go,
22121984,gitee,openharmony-sig/ohos_danmaku_flame_master,Huawei
23443179,gitee,openkylin/kylin-photo-viewer,openKylin
25344960,gitee,dromara/disjob,
11218476,gitee,openharmony/kernel_liteos_a,Huawei
25021959,gitee,openkylin/freewb-deb,openKylin
31454696,gitee,openeuler/compiler-docs,Huawei
9402644,gitee,openeuler/RISC-V,Huawei
20550721,gitee,openkylin/ukui-search,openKylin
16999815,gitee,openharmony/powermgr_thermal_manager,Huawei
26974143,gitee,dotnetmoyu/SimpleAdmin,
19086545,gitee,qiaoshengda/es-client,
19705367,gitee,dromara/go-view,
3135800,gitee,zorlan/skycaiji,
33395786,gitee,openharmony/security_asset,Huawei
33860317,gitee,src-openeuler/oeAware-manager,Huawei
22820622,gitee,atlisp/atlisp-lib,
6959510,gitee,src-openeuler/curl,Huawei
7493429,gitee,notrynohigh/BabyOS,
7612903,gitee,src-openeuler/nginx,Huawei
29648412,gitee,openharmony/ai_intelligent_voice_framework,Huawei
19173341,gitee,anolis/tone-front,Alibaba
